feature,importance
Power,0.1650527209619748
Engine,0.10945517784022325
Transmission_Manual,0.08058613493159648
Mileage,0.057723217604626266
Car_Age,0.045249823884390354
Year,0.04482283806278435
Kilometers_Driven,0.04275551506835426
Brand_Mercedes-Benz,0.034640940565165944
Seats,0.025524229747059368
Brand_BMW,0.024463973026096198
Fuel_Type_Diesel,0.02290104996906318
Brand_Land,0.020709033848077842
Fuel_Type_Petrol,0.019956580633449992
Brand_Audi,0.016835593071140152
Model_Rover Range Rover 3.0 Diesel LWB Vogue,0.011838747699117988
Brand_Maruti,0.011053407579203868
Brand_Jaguar,0.010490074898819332
Brand_Porsche,0.009804004423258182
Location_Coimbatore,0.00867533294669959
Model_GLE 350d,0.00787600202431135
